date,waterbody,water temperature,ph,specific conductivity,dissolved oxygen conc.,dissolved oxygen sat.,turbidity,chlorophyll,phycocyanin,air temperature,barometric pressure,wind speed,no3-n,water temperature_roll3,ph_roll3,specific conductivity_roll3,dissolved oxygen conc._roll3,dissolved oxygen sat._roll3,turbidity_roll3,chlorophyll_roll3,phycocyanin_roll3,water temperature_delta1,ph_delta1,phycocyanin_delta1,target_next_day,risk_tier
2025-01-01,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,0.0,0.0,0.0,14.688314568536216,Alert
2025-01-02,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.4407544998844544,Watch
2025-01-03,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.937395935935162,Watch
2025-01-04,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.4296781174210076,Watch
2025-01-05,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.541933996389826,Watch
2025-01-06,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,0.0,0.0,0.0,14.639198890901316,Alert
2025-01-07,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.5480837149920619,Watch
2025-01-08,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.331223655677129,Watch
2025-01-09,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.9510099632557187,Watch
2025-01-10,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.5028382978572008,Watch
2025-01-11,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,0.0,0.0,0.0,15.194888625532759,Alert
2025-01-12,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.0766510721431315,Watch
2025-01-13,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.8117226488216063,Watch
2025-01-14,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.2953924558279155,Watch
2025-01-15,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.8304687080056912,Watch
2025-01-16,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,0.0,0.0,0.0,15.164708490081791,Alert
2025-01-17,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.980362020295987,Watch
2025-01-18,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.9286854657769088,Watch
2025-01-19,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.1743543320071925,Watch
2025-01-20,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.667173573341504,Watch
2025-01-21,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,0.0,0.0,0.0,15.466165286602221,Alert
2025-01-22,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.3108465802712974,Watch
2025-01-23,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.9751434437341082,Watch
2025-01-24,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.398906370826618,Watch
2025-01-25,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.2237714528995065,Watch
2025-01-26,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,0.0,0.0,0.0,15.271307536136987,Alert
2025-01-27,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.7921529843998798,Watch
2025-01-28,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.4943586711576304,Watch
2025-01-29,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.0112151315802187,Watch
2025-01-30,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.2993644143518663,Watch
2025-01-31,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,0.0,0.0,0.0,15.043247182067022,Alert
2025-02-01,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.224757367613235,Watch
2025-02-02,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.2463080888058315,Watch
2025-02-03,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.9517183718991835,Watch
2025-02-04,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.3917700824684047,Watch
2025-02-05,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,0.0,0.0,0.0,14.996197899193032,Alert
2025-02-06,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.141614389656821,Watch
2025-02-07,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.9229765354093837,Watch
2025-02-08,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.087493375982107,Watch
2025-02-09,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.2690744599815806,Watch
2025-02-10,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,0.0,0.0,0.0,14.790483688485985,Alert
2025-02-11,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.7622179491188095,Watch
2025-02-12,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.87033401986921,Watch
2025-02-13,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,2.3069396393221586,Watch
2025-02-14,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,2.0,0.0,0.0,0.0,1.7987581261799115,Watch
2025-02-15,Lake Oswego,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,20.0,1013.0,2.0,0.1,22.5,7.8,400.0,8.0,95.0,3.0,5.0,15.0,0.0,0.0,0.0,14.771389356921862,Alert
